Date,Year,Month,Quarter,AvgBuyPrice,MinBuyPrice,MaxBuyPrice,AvgSellPrice,MinSellPrice,MaxSellPrice,AvgPriceDifference
2024-09-12,2024,9,3,6478.47,2650.0,8335.0,6603.18,2790.0,8520.0,124.71
2024-06-18,2024,6,2,75.99,75.0,76.98,74.14,73.3,74.98,-1.85
2024-06-17,2024,6,2,75.99,75.0,76.98,74.14,73.3,74.98,-1.85
2024-06-15,2024,6,2,76.04,75.1,76.98,74.19,73.4,74.98,-1.85
2024-06-14,2024,6,2,75.79,74.6,76.98,73.89,72.8,74.98,-1.9
2024-06-13,2024,6,2,75.84,74.7,76.98,73.94,72.9,74.98,-1.9
2024-06-12,2024,6,2,75.74,74.5,76.98,73.84,72.7,74.98,-1.9
2024-06-11,2024,6,2,75.79,74.5,76.98,73.89,72.7,74.98,-1.9
2024-06-10,2024,6,2,75.69,74.4,76.98,73.79,72.6,74.98,-1.9
2024-06-08,2024,6,2,75.69,74.4,76.98,73.79,72.6,74.98,-1.9
2024-06-07,2024,6,2,76.14,75.3,76.98,74.24,73.5,74.98,-1.9
2024-06-06,2024,6,2,76.52,75.3,77.98,74.75,73.5,76.58,-1.76
2024-06-05,2024,6,2,76.76,75.0,78.98,75.05,73.2,77.48,-1.71
2024-06-04,2024,6,2,77.34,75.2,79.98,75.57,73.4,77.98,-1.78
2024-06-03,2024,6,2,78.14,75.2,82.75,76.29,73.4,80.95,-1.84
2024-06-01,2024,6,2,80.04,75.8,85.95,77.89,74.0,83.05,-2.16
2024-05-31,2024,5,2,81.91,76.4,88.4,79.6,74.6,86.0,-2.31
2024-05-30,2024,5,2,82.56,76.4,90.0,80.39,74.6,88.2,-2.18
2024-05-29,2024,5,2,83.53,76.7,90.5,81.85,75.0,88.9,-1.68
2024-05-28,2024,5,2,83.35,76.7,90.1,81.55,75.0,88.3,-1.8
2024-05-27,2024,5,2,82.95,76.4,89.5,81.18,74.6,87.7,-1.78
2024-05-25,2024,5,2,82.9,76.4,89.4,81.05,74.6,87.5,-1.85
2024-05-24,2024,5,2,82.83,76.0,89.5,80.95,74.2,87.5,-1.88
2024-05-23,2024,5,2,83.42,76.9,90.3,81.58,75.15,88.3,-1.84
2024-05-22,2024,5,2,84.1,77.6,90.7,82.22,75.7,88.9,-1.88
2024-05-21,2024,5,2,84.0,77.4,90.7,82.05,75.5,88.7,-1.95
2024-05-20,2024,5,2,84.07,77.6,90.7,82.0,75.7,88.7,-2.07
2024-05-18,2024,5,2,83.73,77.4,90.2,81.55,75.5,87.7,-2.18
